stockcode,quantity,invoicedate,unitprice,customerid,country
85123A,6,2025-03-01 08:26:00,2.55,17850.0,United Kingdom
71053,6,2025-03-01 08:26:00,3.39,17850.0,United Kingdom
84406B,8,2025-03-01 08:26:00,2.75,17850.0,United Kingdom
84029G,6,2025-03-01 08:26:00,3.39,17850.0,United Kingdom
84029E,6,2025-03-01 08:26:00,3.39,17850.0,United Kingdom
22752,2,2025-03-01 08:26:00,7.65,17850.0,United Kingdom
21730,6,2025-03-01 08:26:00,4.25,17850.0,United Kingdom
22633,6,2025-03-01 08:28:00,1.85,17850.0,United Kingdom
22632,6,2025-03-01 08:28:00,1.85,17850.0,United Kingdom
84879,32,2025-03-01 08:34:00,1.69,13047.0,United Kingdom
22745,6,2025-03-01 08:34:00,2.1,13047.0,United Kingdom
22748,6,2025-03-01 08:34:00,2.1,13047.0,United Kingdom
22749,8,2025-03-01 08:34:00,3.75,13047.0,United Kingdom
22310,6,2025-03-01 08:34:00,1.65,13047.0,United Kingdom
84969,6,2025-03-01 08:34:00,4.25,13047.0,United Kingdom
22623,3,2025-03-01 08:34:00,4.95,13047.0,United Kingdom
22622,2,2025-03-01 08:34:00,9.95,13047.0,United Kingdom
21754,3,2025-03-01 08:34:00,5.95,13047.0,United Kingdom
21755,3,2025-03-01 08:34:00,5.95,13047.0,United Kingdom
21777,4,2025-03-01 08:34:00,7.95,13047.0,United Kingdom
48187,4,2025-03-01 08:34:00,7.95,13047.0,United Kingdom
22960,6,2025-03-01 08:34:00,4.25,13047.0,United Kingdom
22913,3,2025-03-01 08:34:00,4.95,13047.0,United Kingdom
22912,3,2025-03-01 08:34:00,4.95,13047.0,United Kingdom
22914,3,2025-03-01 08:34:00,4.95,13047.0,United Kingdom
21756,3,2025-03-01 08:35:00,5.95,13047.0,United Kingdom
22728,24,2025-03-01 08:45:00,3.75,12583.0,France
22727,24,2025-03-01 08:45:00,3.75,12583.0,France
22726,12,2025-03-01 08:45:00,3.75,12583.0,France
21724,12,2025-03-01 08:45:00,0.85,12583.0,France
21883,24,2025-03-01 08:45:00,0.65,12583.0,France
10002,48,2025-03-01 08:45:00,0.85,12583.0,France
21791,24,2025-03-01 08:45:00,1.25,12583.0,France
21035,18,2025-03-01 08:45:00,2.95,12583.0,France
22326,24,2025-03-01 08:45:00,2.95,12583.0,France
22629,24,2025-03-01 08:45:00,1.95,12583.0,France
22659,24,2025-03-01 08:45:00,1.95,12583.0,France
22631,24,2025-03-01 08:45:00,1.95,12583.0,France
22661,20,2025-03-01 08:45:00,0.85,12583.0,France
21731,24,2025-03-01 08:45:00,1.65,12583.0,France
22900,24,2025-03-01 08:45:00,2.95,12583.0,France
21913,12,2025-03-01 08:45:00,3.75,12583.0,France
22540,24,2025-03-01 08:45:00,0.42,12583.0,France
22544,24,2025-03-01 08:45:00,0.42,12583.0,France
22492,36,2025-03-01 08:45:00,0.65,12583.0,France
POST,3,2025-03-01 08:45:00,18.0,12583.0,France
22086,80,2025-03-01 09:00:00,2.55,13748.0,United Kingdom
22632,6,2025-03-01 09:01:00,1.85,17850.0,United Kingdom
22633,6,2025-03-01 09:01:00,1.85,17850.0,United Kingdom
85123A,6,2025-03-01 09:02:00,2.55,17850.0,United Kingdom
71053,6,2025-03-01 09:02:00,3.39,17850.0,United Kingdom
84406B,8,2025-03-01 09:02:00,2.75,17850.0,United Kingdom
20679,6,2025-03-01 09:02:00,4.95,17850.0,United Kingdom
37370,6,2025-03-01 09:02:00,1.06,17850.0,United Kingdom
21871,6,2025-03-01 09:02:00,1.06,17850.0,United Kingdom
21071,6,2025-03-01 09:02:00,1.06,17850.0,United Kingdom
21068,6,2025-03-01 09:02:00,1.06,17850.0,United Kingdom
82483,2,2025-03-01 09:02:00,4.95,17850.0,United Kingdom
82486,4,2025-03-01 09:02:00,6.95,17850.0,United Kingdom
82482,6,2025-03-01 09:02:00,2.1,17850.0,United Kingdom
82494L,6,2025-03-01 09:02:00,2.55,17850.0,United Kingdom
84029G,6,2025-03-01 09:02:00,3.39,17850.0,United Kingdom
84029E,6,2025-03-01 09:02:00,3.39,17850.0,United Kingdom
22752,2,2025-03-01 09:02:00,7.65,17850.0,United Kingdom
21730,6,2025-03-01 09:02:00,4.25,17850.0,United Kingdom
21258,32,2025-03-01 09:09:00,10.95,15100.0,United Kingdom
85123A,6,2025-03-01 09:32:00,2.55,17850.0,United Kingdom
71053,6,2025-03-01 09:32:00,3.39,17850.0,United Kingdom
84406B,8,2025-03-01 09:32:00,2.75,17850.0,United Kingdom
20679,6,2025-03-01 09:32:00,4.95,17850.0,United Kingdom
37370,6,2025-03-01 09:32:00,1.06,17850.0,United Kingdom
21871,6,2025-03-01 09:32:00,1.06,17850.0,United Kingdom
21071,6,2025-03-01 09:32:00,1.06,17850.0,United Kingdom
21068,6,2025-03-01 09:32:00,1.06,17850.0,United Kingdom
82483,2,2025-03-01 09:32:00,4.95,17850.0,United Kingdom
82486,4,2025-03-01 09:32:00,6.95,17850.0,United Kingdom
82482,6,2025-03-01 09:32:00,2.1,17850.0,United Kingdom
82494L,6,2025-03-01 09:32:00,2.55,17850.0,United Kingdom
84029G,6,2025-03-01 09:32:00,3.39,17850.0,United Kingdom
84029E,6,2025-03-01 09:32:00,3.39,17850.0,United Kingdom
22752,2,2025-03-01 09:32:00,7.65,17850.0,United Kingdom
21730,6,2025-03-01 09:32:00,4.25,17850.0,United Kingdom
22114,48,2025-03-01 09:32:00,3.45,15291.0,United Kingdom
21733,64,2025-03-01 09:32:00,2.55,15291.0,United Kingdom
22632,6,2025-03-01 09:34:00,1.85,17850.0,United Kingdom
22633,6,2025-03-01 09:34:00,1.85,17850.0,United Kingdom
22386,10,2025-03-01 09:37:00,1.95,14688.0,United Kingdom
85099C,10,2025-03-01 09:37:00,1.95,14688.0,United Kingdom
21033,10,2025-03-01 09:37:00,2.95,14688.0,United Kingdom
20723,10,2025-03-01 09:37:00,0.85,14688.0,United Kingdom
84997B,12,2025-03-01 09:37:00,3.75,14688.0,United Kingdom
84997C,6,2025-03-01 09:37:00,3.75,14688.0,United Kingdom
21094,12,2025-03-01 09:37:00,0.85,14688.0,United Kingdom
20725,10,2025-03-01 09:37:00,1.65,14688.0,United Kingdom
21559,6,2025-03-01 09:37:00,2.55,14688.0,United Kingdom
22352,6,2025-03-01 09:37:00,2.55,14688.0,United Kingdom
21212,120,2025-03-01 09:37:00,0.42,14688.0,United Kingdom
21975,24,2025-03-01 09:37:00,0.55,14688.0,United Kingdom
21977,24,2025-03-01 09:37:00,0.55,14688.0,United Kingdom
84991,24,2025-03-01 09:37:00,0.55,14688.0,United Kingdom
84519A,6,2025-03-01 09:37:00,2.95,14688.0,United Kingdom
85183B,48,2025-03-01 09:37:00,1.25,14688.0,United Kingdom
85071B,96,2025-03-01 09:37:00,0.38,14688.0,United Kingdom
21931,10,2025-03-01 09:37:00,1.95,14688.0,United Kingdom
21929,10,2025-03-01 09:37:00,1.95,14688.0,United Kingdom
22961,24,2025-03-01 09:41:00,1.45,17809.0,United Kingdom
22139,23,2025-03-01 09:41:00,4.25,15311.0,United Kingdom
84854,5,2025-03-01 09:41:00,4.95,15311.0,United Kingdom
22411,10,2025-03-01 09:41:00,1.95,15311.0,United Kingdom
82567,2,2025-03-01 09:41:00,2.1,15311.0,United Kingdom
21672,6,2025-03-01 09:41:00,1.25,15311.0,United Kingdom
22774,24,2025-03-01 09:41:00,1.25,15311.0,United Kingdom
22771,24,2025-03-01 09:41:00,1.25,15311.0,United Kingdom
71270,1,2025-03-01 09:41:00,1.25,15311.0,United Kingdom
22262,1,2025-03-01 09:41:00,0.85,15311.0,United Kingdom
22637,1,2025-03-01 09:41:00,2.55,15311.0,United Kingdom
21934,10,2025-03-01 09:41:00,1.65,15311.0,United Kingdom
21169,3,2025-03-01 09:41:00,1.69,15311.0,United Kingdom
21166,1,2025-03-01 09:41:00,1.95,15311.0,United Kingdom
21175,2,2025-03-01 09:41:00,2.1,15311.0,United Kingdom
37444A,1,2025-03-01 09:41:00,2.95,15311.0,United Kingdom
37444C,1,2025-03-01 09:41:00,2.95,15311.0,United Kingdom
22086,4,2025-03-01 09:41:00,2.95,15311.0,United Kingdom
22083,1,2025-03-01 09:41:00,2.95,15311.0,United Kingdom
84971S,6,2025-03-01 09:41:00,0.85,15311.0,United Kingdom
71270,3,2025-03-01 09:41:00,1.25,15311.0,United Kingdom
47580,2,2025-03-01 09:41:00,2.55,15311.0,United Kingdom
22261,1,2025-03-01 09:41:00,0.85,15311.0,United Kingdom
84832,1,2025-03-01 09:41:00,0.85,15311.0,United Kingdom
22644,1,2025-03-01 09:41:00,1.45,15311.0,United Kingdom
21533,1,2025-03-01 09:41:00,4.95,15311.0,United Kingdom
21557,2,2025-03-01 09:41:00,2.95,15311.0,United Kingdom
15056BL,2,2025-03-01 09:41:00,5.95,15311.0,United Kingdom
15056N,2,2025-03-01 09:41:00,5.95,15311.0,United Kingdom
22646,4,2025-03-01 09:41:00,1.45,15311.0,United Kingdom
22176,1,2025-03-01 09:41:00,2.95,15311.0,United Kingdom
22438,1,2025-03-01 09:41:00,1.95,15311.0,United Kingdom
21731,2,2025-03-01 09:41:00,1.65,15311.0,United Kingdom
22778,3,2025-03-01 09:41:00,3.95,15311.0,United Kingdom
22719,36,2025-03-01 09:41:00,1.06,15311.0,United Kingdom
21523,10,2025-03-01 09:41:00,6.75,15311.0,United Kingdom
D,-1,2025-03-01 09:41:00,27.5,14527.0,United Kingdom
10002,12,2025-03-01 09:45:00,0.85,16098.0,United Kingdom
21912,8,2025-03-01 09:45:00,3.75,16098.0,United Kingdom
21832,12,2025-03-01 09:45:00,1.65,16098.0,United Kingdom
22411,10,2025-03-01 09:45:00,1.95,16098.0,United Kingdom
22379,10,2025-03-01 09:45:00,2.1,16098.0,United Kingdom
22381,50,2025-03-01 09:45:00,1.85,16098.0,United Kingdom
22798,8,2025-03-01 09:45:00,2.95,16098.0,United Kingdom
22726,4,2025-03-01 09:45:00,3.75,16098.0,United Kingdom
22926,12,2025-03-01 09:45:00,5.95,16098.0,United Kingdom
22839,2,2025-03-01 09:45:00,14.95,16098.0,United Kingdom
22838,2,2025-03-01 09:45:00,14.95,16098.0,United Kingdom
22783,4,2025-03-01 09:45:00,16.95,16098.0,United Kingdom
35004C,-1,2025-03-01 09:49:00,4.65,15311.0,United Kingdom
82484,3,2025-03-01 09:53:00,6.45,18074.0,United Kingdom
84755,48,2025-03-01 09:53:00,0.65,18074.0,United Kingdom
22464,12,2025-03-01 09:53:00,1.65,18074.0,United Kingdom
21324,6,2025-03-01 09:53:00,2.95,18074.0,United Kingdom
22457,12,2025-03-01 09:53:00,2.95,18074.0,United Kingdom
22469,40,2025-03-01 09:53:00,1.45,18074.0,United Kingdom
22470,40,2025-03-01 09:53:00,2.55,18074.0,United Kingdom
22224,6,2025-03-01 09:53:00,2.95,18074.0,United Kingdom
21340,2,2025-03-01 09:53:00,12.75,18074.0,United Kingdom
22189,4,2025-03-01 09:53:00,3.95,18074.0,United Kingdom
22427,3,2025-03-01 09:53:00,5.95,18074.0,United Kingdom
22428,6,2025-03-01 09:53:00,6.95,18074.0,United Kingdom
22424,8,2025-03-01 09:53:00,10.95,18074.0,United Kingdom
22783,1,2025-03-01 09:56:00,19.95,17420.0,United Kingdom
22961,12,2025-03-01 09:56:00,1.45,17420.0,United Kingdom
22960,6,2025-03-01 09:56:00,4.25,17420.0,United Kingdom
22663,10,2025-03-01 09:56:00,1.95,17420.0,United Kingdom
85049A,12,2025-03-01 09:56:00,1.25,17420.0,United Kingdom
22168,2,2025-03-01 09:56:00,8.5,17420.0,United Kingdom
22662,10,2025-03-01 09:56:00,1.65,17420.0,United Kingdom
84880,36,2025-03-01 09:57:00,4.95,16029.0,United Kingdom
85099C,100,2025-03-01 09:57:00,1.65,16029.0,United Kingdom
85099B,100,2025-03-01 09:57:00,1.65,16029.0,United Kingdom
79321,192,2025-03-01 09:58:00,3.82,16029.0,United Kingdom
22780,192,2025-03-01 09:58:00,3.37,16029.0,United Kingdom
22779,192,2025-03-01 09:58:00,3.37,16029.0,United Kingdom
22466,432,2025-03-01 09:58:00,1.45,16029.0,United Kingdom
21731,432,2025-03-01 09:58:00,1.25,16029.0,United Kingdom
21754,3,2025-03-01 09:59:00,5.95,16250.0,United Kingdom
21755,3,2025-03-01 09:59:00,5.95,16250.0,United Kingdom
21523,2,2025-03-01 09:59:00,7.95,16250.0,United Kingdom
21363,3,2025-03-01 09:59:00,4.95,16250.0,United Kingdom
21411,3,2025-03-01 09:59:00,4.25,16250.0,United Kingdom
22318,6,2025-03-01 09:59:00,2.95,16250.0,United Kingdom
22464,12,2025-03-01 09:59:00,1.65,16250.0,United Kingdom
22915,12,2025-03-01 09:59:00,0.42,16250.0,United Kingdom
22922,12,2025-03-01 09:59:00,0.85,16250.0,United Kingdom
22969,12,2025-03-01 09:59:00,1.45,16250.0,United Kingdom
22923,12,2025-03-01 09:59:00,0.85,16250.0,United Kingdom
21115,4,2025-03-01 09:59:00,6.75,16250.0,United Kingdom
22469,12,2025-03-01 09:59:00,1.65,16250.0,United Kingdom
22242,12,2025-03-01 09:59:00,1.65,16250.0,United Kingdom
22941,6,2025-03-01 10:03:00,8.5,12431.0,Australia
